country_names,un_member_status,sovereignity_disputes
Niger– Republic of the Niger,A UN member state,A None
Nigeria– Federal Republic of Nigeria,A UN member state,A None
North Korea– Democratic People's Republic of Korea,A UN member state,BClaimed by AfghanistanClaimed by GeorgiaClaimed by North Korea Claimed by Serbia Claimed by Somalia Claimed by the People's Republic of China Claimed by the Republic of China Claimed by South Korea Claimed by Azerbaijan Claimed by the Republic of Cyprus Disputed by Israel Claimed by Indonesia Claimed by the Marshall Islands Claimed by Mauritius Claimed by Morocco Claimed by Moldova Claimed by Mali Claimed by Spain Claimed by Argentina Claimed by Ukraine Claimed by Pakistan
North Macedonia– Republic of North Macedonia[af],A UN member state,A None
Norway– Kingdom of Norway,A UN member state,A None
Oman– Sultanate of Oman,A UN member state,A None
Pakistan– Islamic Republic of Pakistan,A UN member state,A None
Palau– Republic of Palau,A UN member state,A None
Palestine– State of Palestine,A UN General Assembly observer state; member of two UN specialized agencies,Partially unrecognised. Occupied by Israel.
Panama– Republic of Panama,A UN member state,A None
Papua New Guinea– Independent State of Papua New Guinea,A UN member state,A None
Paraguay– Republic of Paraguay,A UN member state,A None
Peru– Republic of Peru,A UN member state,A None
Philippines– Republic of the Philippines,A UN member state,A None
Poland– Republic of Poland,A UN member state,A None
Portugal– Portuguese Republic,A UN member state,A None
Qatar– State of Qatar,A UN member state,A None
Romania,A UN member state,A None
Russia– Russian Federation,A UN member state,A None
Rwanda– Republic of Rwanda,A UN member state,A None
Saint Kitts and Nevis– Federation of Saint Christopher and Nevis,A UN member state,A None
Saint Lucia,A UN member state,A None
Saint Vincent and the Grenadines,A UN member state,A None
Samoa– Independent State of Samoa,A UN member state,A None
San Marino– Republic of San Marino,A UN member state,A None
São Tomé and Príncipe– Democratic Republic of São Tomé and Príncipe,A UN member state,A None
Saudi Arabia– Kingdom of Saudi Arabia,A UN member state,A None
Senegal– Republic of Senegal,A UN member state,A None
Serbia– Republic of Serbia,A UN member state,A None
Seychelles– Republic of Seychelles,A UN member state,A None
Sierra Leone– Republic of Sierra Leone,A UN member state,A None
Singapore– Republic of Singapore,A UN member state,A None
Slovakia– Slovak Republic,A UN member state,A None
Slovenia– Republic of Slovenia,A UN member state,A None
Solomon Islands,A UN member state,A None
Somalia– Federal Republic of Somalia,A UN member state,A None
South Africa– Republic of South Africa,A UN member state,A None
South Korea– Republic of Korea,A UN member state,BClaimed by AfghanistanClaimed by GeorgiaClaimed by North Korea Claimed by Serbia Claimed by Somalia Claimed by the People's Republic of China Claimed by the Republic of China Claimed by South Korea Claimed by Azerbaijan Claimed by the Republic of Cyprus Disputed by Israel Claimed by Indonesia Claimed by the Marshall Islands Claimed by Mauritius Claimed by Morocco Claimed by Moldova Claimed by Mali Claimed by Spain Claimed by Argentina Claimed by Ukraine Claimed by Pakistan
South Sudan– Republic of South Sudan,A UN member state,A None
Spain– Kingdom of Spain,A UN member state,A None
Sri Lanka– Democratic Socialist Republic of Sri Lanka[ah],A UN member state,A None
Sudan– Republic of the Sudan,A UN member state,A None
Suriname– Republic of Suriname,A UN member state,A None
Sweden– Kingdom of Sweden,A UN member state,A None
Switzerland– Swiss Confederation,A UN member state,A None
Syria– Syrian Arab Republic,A UN member state,A None
Tajikistan– Republic of Tajikistan,A UN member state,A None
Tanzania– United Republic of Tanzania,A UN member state,A None
Thailand– Kingdom of Thailand,A UN member state,A None
Timor-Leste– Democratic Republic of Timor-Leste[ai],A UN member state,A None
Togo– Togolese Republic,A UN member state,A None
Tonga– Kingdom of Tonga,A UN member state,A None
Trinidad and Tobago– Republic of Trinidad and Tobago,A UN member state,A None
Tunisia– Republic of Tunisia,A UN member state,A None
Turkey– Republic of Türkiye[aj],A UN member state,A None
Turkmenistan,A UN member state,A None
Tuvalu,A UN member state,A None
Uganda– Republic of Uganda,A UN member state,A None
Ukraine,A UN member state,A None
United Arab Emirates,A UN member state,A None
United Kingdom– United Kingdom of Great Britain and Northern Ireland,A UN member state,A None
United States– United States of America,A UN member state,A None
Uruguay– Oriental Republic of Uruguay,A UN member state,A None
Uzbekistan– Republic of Uzbekistan,A UN member state,A None
Vanuatu– Republic of Vanuatu,A UN member state,A None
Vatican City– Vatican City State,"A UN General Assembly observer state under the designation of ""Holy See""; member of three UN specialized agencies",A None
Venezuela– Bolivarian Republic of Venezuela,A UN member state,A None
Vietnam– Socialist Republic of Vietnam,A UN member state,A None
Yemen– Republic of Yemen,A UN member state,A None
Zambia– Republic of Zambia,A UN member state,A None
Zimbabwe– Republic of Zimbabwe,A UN member state,A None
